Go.	Vá.
This suits you well.	Isso combina com você.
You look great!	Você está ótimo!
You look tired.	Você parece cansado.
You look upset.	Você parece chateado.
You look worried.	Você parece preocupado.
You seem stressed.	Você parece estressado.
You seem happy.	Você parece feliz.
What's on your mind?	O que você está pensando?
Penny for your thoughts?	Um tostão pelos seus pensamentos?
What are you thinking about?	No que você está pensando?
What's bothering you?	O que está te incomodando?
You can tell me.	Você pode me contar.
I'm all ears.	Sou todo ouvidos.
I'm listening.	Estou ouvindo.
Go ahead.	Vá em frente.
I'm waiting.	Estou esperando.
Take your time.	Leve seu tempo.
No rush.	Sem pressa.
Whenever you're ready.	Quando você estiver pronto.
I have all day.	Eu tenho o dia todo.
I'm in no hurry.	Não tenho pressa.
We have plenty of time.	Temos muito tempo.
We're running out of time.	Estamos ficando sem tempo.
Time is running out.	O tempo está acabando.
We need to hurry.	Precisamos nos apressar.
We're going to be late.	Vamos nos atrasar.
We're already late.	Já estamos atrasados.
We missed our chance.	Nós perdemos nossa chance.
It's too late now.	É tarde demais agora.
There's still time.	Ainda há tempo.
It's not too late.	Não é tarde demais.
Better late than never.	Antes tarde do que nunca.
Time flies.	O tempo voa.
Where did the time go?	Onde foi o tempo?
It feels like yesterday.	Parece que foi ontem.
It's been ages!	Faz muito tempo!
It's been forever!	Faz uma eternidade!
Long time no see!	Há quanto tempo!
I haven't seen you in years.	Não te vejo há anos.
You haven't changed a bit.	Você não mudou nada.
You look different.	Você está diferente.
Did you cut your hair?	Você cortou o cabelo?
Did you lose weight?	Você emagreceu?
Did you gain weight?	Você engordou?
You grew a beard!	Você deixou a barba crescer!
You look younger.	Você parece mais jovem.
You look older.	Você parece mais velho.
Age is just a number.	Idade é apenas um número.
You're only as old as you feel.	Você só é tão velho quanto se sente.
Time heals all wounds.	O tempo cura todas as feridas.
Practice makes perfect.	A prática leva à perfeição.
Actions speak louder than words.	Ações falam mais alto que palavras.
Better safe than sorry.	Melhor prevenir do que remediar.
The early bird catches the worm.	Deus ajuda quem cedo madruga.
Don't count your chickens before they hatch.	Não conte com o ovo no fiofó da galinha.
Every cloud has a silver lining.	Depois da tempestade vem a bonança.
When in Rome do as Romans.	Em Roma seja como os romanos.
All that glitters is not gold.	Nem tudo que reluz é ouro.
Two heads are better than one.	Duas cabeças pensam melhor que uma.
The grass is always greener.	A grama do vizinho é sempre mais verde.
Don't put all your eggs in one basket.	Não coloque todos os ovos na mesma cesta.
A picture is worth a thousand words.	Uma imagem vale mais que mil palavras.
You can't have your cake and eat it.	Não dá para ter tudo na vida.
When life gives you lemons make lemonade.	Quando a vida der limões faça limonada.
Rome wasn't built in a day.	Roma não foi construída em um dia.
The pen is mightier than the sword.	A caneta é mais poderosa que a espada.
Honesty is the best policy.	Honestidade é a melhor política.
Knowledge is power.	Conhecimento é poder.
Money doesn't grow on trees.	Dinheiro não nasce em árvore.
You can't judge a book by its cover.	Não julgue um livro pela capa.
The apple doesn't fall far from the tree.	Filho de peixe peixinho é.
Blood is thicker than water.	Sangue é mais grosso que água.
A friend in need is a friend indeed.	Amigo de verdade aparece na necessidade.
Birds of a feather flock together.	Os semelhantes se atraem.
Don't cry over spilled milk.	Não adianta chorar pelo leite derramado.
Easy come easy go.	Fácil vem fácil vai.
The more things change the more they stay.	Quanto mais as coisas mudam mais permanecem.
What goes around comes around.	O que vai volta.
You reap what you sow.	Você colhe o que planta.
Strike while the iron is hot.	Malhe o ferro enquanto está quente.
Make hay while the sun shines.	Faça feno enquanto o sol brilha.
Absence makes the heart grow fonder.	A ausência faz o coração crescer mais forte.
Out of sight out of mind.	Longe dos olhos longe do coração.
The best things in life are free.	As melhores coisas da vida são grátis.
There's no place like home.	Não há lugar como o lar.
Home is where the heart is.	Lar é onde o coração está.
A rolling stone gathers no moss.	Pedra que rola não cria musgo.
Curiosity killed the cat.	A curiosidade matou o gato.
The proof is in the pudding.	A prova está no pudim.
You can lead a horse to water.	Você pode levar o cavalo à água.
Don't bite the hand that feeds you.	Não morda a mão que te alimenta.
Let sleeping dogs lie.	Deixe os cães que dormem deitados.
Every dog has its day.	Todo cachorro tem seu dia.
You can't teach an old dog new tricks.	Não se ensina truques novos a cachorro velho.
It takes two to tango.	São necessários dois para dançar tango.
The show must go on.	O show tem que continuar.
Break a leg!	Boa sorte!
That's the way the cookie crumbles.	É assim que o biscoito esfarela.
It's a piece of cake.	É moleza.
It's not rocket science.	Não é ciência de foguetes.
It's raining cats and dogs.	Está chovendo canivetes.
I'm under the weather.	Estou meio adoentado.
I have butterflies in my stomach.	Estou com frio na barriga.
That rings a bell.	Isso me soa familiar.
It costs an arm and a leg.	Custa os olhos da cara.
Once in a blue moon.	De vez em nunca.
When pigs fly.	Quando porcos voarem.
Speak of the devil.	Falando no diabo.
The ball is in your court.	A bola está com você.
Get the ball rolling.	Colocar a bola para rolar.
Hit the nail on the head.	Acertar na mosca.
Bite the bullet.	Enfrentar a situação difícil.
Spill the beans.	Entregar o ouro.
Let the cat out of the bag.	Deixar escapar o segredo.
It's a blessing in disguise.	É uma bênção disfarçada.
Kill two birds with one stone.	Matar dois coelhos com uma cajadada.
The last straw.	A gota d'água.
Add insult to injury.	Jogar sal na ferida.
A taste of your own medicine.	Um gosto do próprio remédio.
Go the extra mile.	Ir a milha extra.
Cut corners.	Cortar caminho.
Cut to the chase.	Ir direto ao ponto.
Back to square one.	De volta à estaca zero.
Back to the drawing board.	De volta à prancheta.
Barking up the wrong tree.	Batendo na porta errada.
Beat around the bush.	Enrolar.
The elephant in the room.	O elefante na sala.
A drop in the ocean.	Uma gota no oceano.
On thin ice.	Em gelo fino.
Walking on eggshells.	Pisando em ovos.
Under the same roof.	Sob o mesmo teto.
Over the moon.	Nas nuvens de felicidade.
Through thick and thin.	Na alegria e na tristeza.
At the end of the day.	No fim das contas.
In the nick of time.	Na hora H.
Against all odds.	Contra todas as probabilidades.
By the skin of my teeth.	Por um triz.
Out of the blue.	Do nada.
In a nutshell.	Em resumo.
For the time being.	Por enquanto.
Sooner or later.	Mais cedo ou mais tarde.
Now and then.	De vez em quando.
Here and there.	Aqui e ali.
High and low.	Por todos os lugares.
Left and right.	Para todo lado.
Up and down.	Para cima e para baixo.
In and out.	Para dentro e para fora.
Back and forth.	Para frente e para trás.
Give and take.	Dar e receber.
Live and learn.	Viver e aprender.
Trial and error.	Tentativa e erro.
Pros and cons.	Prós e contras.
Odds and ends.	Miudezas.
Bits and pieces.	Pedaços e partes.
All or nothing.	Tudo ou nada.
Hit or miss.	Acertar ou errar.
Take it or leave it.	Pegar ou largar.
Love it or hate it.	Ame ou odeie.
Like it or not.	Goste ou não.
Believe it or not.	Acredite ou não.
Ready or not here I come.	Pronto ou não lá vou eu.
Come rain or shine.	Faça chuva ou faça sol.
For better or worse.	Para o melhor ou pior.
More or less.	Mais ou menos.
Sooner rather than later.	Mais cedo do que tarde.
Easier said than done.	Mais fácil falar do que fazer.
Seeing is believing.	Ver para crer.
Time will tell.	O tempo dirá.
Only time will tell.	Só o tempo dirá.
We'll see about that.	Vamos ver isso.
Let's wait and see.	Vamos esperar para ver.
I'll think about it.	Vou pensar sobre isso.
Let me sleep on it.	Deixe-me dormir sobre isso.
I need to consider it.	Preciso considerar isso.
Give me a moment.	Me dê um momento.
Hold that thought.	Segure esse pensamento.
Where were we?	Onde estávamos?
What were we talking about?	Sobre o que estávamos falando?
I lost my train of thought.	Perdi minha linha de raciocínio.
It slipped my mind.	Escapou da minha mente.
My mind went blank.	Minha mente deu um branco.
I can't remember.	Não consigo me lembrar.
It's on the tip of my tongue.	Está na ponta da língua.
I have a bad memory.	Tenho memória fraca.
I have a good memory.	Tenho boa memória.
That brings back memories.	Isso traz de volta memórias.
Those were the days.	Aqueles eram os dias.
I miss the old days.	Sinto falta dos velhos tempos.
Things have changed.	As coisas mudaram.
Times are changing.	Os tempos estão mudando.
Change is inevitable.	Mudança é inevitável.
Nothing lasts forever.	Nada dura para sempre.
All good things must end.	Todas as coisas boas devem terminar.
This too shall pass.	Isso também passará.
Tomorrow is another day.	Amanhã é outro dia.
Today is the first day of your life.	Hoje é o primeiro dia da sua vida.
Every moment is a fresh beginning.	Cada momento é um novo começo.
